Add,Block ID,CLUE small area,Longitude,Latitude
9-11 Swanston Street MELBOURNE 3000,15,Melbourne (CBD),144.96562,-37.81888
"Ground , 27-29 Swanston Street MELBOURNE 3000",15,Melbourne (CBD),144.96546,-37.81853
"Shop 3, Ground , 37 Swanston Street MELBOURNE 3000",15,Melbourne (CBD),144.96539,-37.81838
"Shop 5, 1 Flinders Street MELBOURNE 3000",16,Melbourne (CBD),144.96777,-37.81835
"Shop 1, 170-170 Flinders Street MELBOURNE 3000",16,Melbourne (CBD),144.96777,-37.81835
"Lot , Ground , 27-37 Russell Street MELBOURNE 3000",16,Melbourne (CBD),144.96793,-37.81763
"Lot , Ground , 27-37 Russell Street MELBOURNE 3000",16,Melbourne (CBD),144.96793,-37.81763
"Level 2, 11-0 Exhibition Street MELBOURNE 3000",17,Melbourne (CBD),144.97041,-37.8171
"Level 1, 11-0 Exhibition Street MELBOURNE 3000",17,Melbourne (CBD),144.97041,-37.8171
2-37 Exhibition Street MELBOURNE 3000,17,Melbourne (CBD),144.97041,-37.8171
95-101 Flinders Lane MELBOURNE 3000,17,Melbourne (CBD),144.96978,-37.81716
"Ground , 103 Flinders Lane MELBOURNE 3000",17,Melbourne (CBD),144.96965,-37.8172
"Basement , 137-139 Flinders Lane MELBOURNE 3000",17,Melbourne (CBD),144.96873,-37.81737
1 Spring Street MELBOURNE 3000,18,Melbourne (CBD),144.97279,-37.81618
1 Spring Street MELBOURNE 3000,18,Melbourne (CBD),144.97279,-37.81618
55 Flinders Lane MELBOURNE 3000,18,Melbourne (CBD),144.97152,-37.81649
525 Collins Street MELBOURNE 3000,22,Melbourne (CBD),144.95616,-37.82029
42-44 King Street MELBOURNE 3000,22,Melbourne (CBD),144.95601,-37.82082
"Part Ground , 45 William Street MELBOURNE 3000",22,Melbourne (CBD),144.95782,-37.82022
"Part Ground , 45 William Street MELBOURNE 3000",22,Melbourne (CBD),144.95782,-37.82022
"Part Ground , 459 Collins Street MELBOURNE 3000",22,Melbourne (CBD),144.95761,-37.81981
"Part Ground , 401 Collins Street MELBOURNE 3000",23,Melbourne (CBD),144.95989,-37.81901
"Ground , 417 Collins Street MELBOURNE 3000",23,Melbourne (CBD),144.95955,-37.81911
447 Collins Street MELBOURNE 3000,23,Melbourne (CBD),144.95856,-37.81962
"Unit 1, Ground , 50 Market Street MELBOURNE 3000",23,Melbourne (CBD),144.9595,-37.81968
"Part Ground , 333 Collins Street MELBOURNE 3000",24,Melbourne (CBD),144.96195,-37.81869
"Part Ground , 367 Collins Street MELBOURNE 3000",24,Melbourne (CBD),144.96113,-37.81892
308 Flinders Lane MELBOURNE 3000,24,Melbourne (CBD),144.9626,-37.81883
302-308 Flinders Lane MELBOURNE 3000,24,Melbourne (CBD),144.9626,-37.81883
24 Flinders Lane MELBOURNE 3000,25,Melbourne (CBD),144.96428,-37.81824
8-10 Flinders Lane MELBOURNE 3000,25,Melbourne (CBD),144.96428,-37.81824
8-10 Flinders Lane MELBOURNE 3000,25,Melbourne (CBD),144.96428,-37.81824
"Part Level 1, 257 Collins Street MELBOURNE 3000",25,Melbourne (CBD),144.96434,-37.81799
"Part Ground , 257 Collins Street MELBOURNE 3000",25,Melbourne (CBD),144.96434,-37.81799
"Part Ground , 161 Collins Street MELBOURNE 3000",26,Melbourne (CBD),144.96745,-37.81709
"Shop 4, 207 Collins Street MELBOURNE 3000",26,Melbourne (CBD),144.96611,-37.81745
"Shop 4, 207 Collins Street MELBOURNE 3000",26,Melbourne (CBD),144.96611,-37.81745
Part 207 Collins Street MELBOURNE 3000,26,Melbourne (CBD),144.96611,-37.81745
"Shop 3, 207 Collins Street MELBOURNE 3000",26,Melbourne (CBD),144.96611,-37.81745
"Shop 4, 111 Collins Street MELBOURNE 3000",27,Melbourne (CBD),144.96894,-37.81632
"Shop 66, 45-0 Collins Street MELBOURNE 3000",28,Melbourne (CBD),144.97131,-37.81594
"Shop 66, 45-0 Collins Street MELBOURNE 3000",28,Melbourne (CBD),144.97131,-37.81594
"Ground , 622 Collins Street MELBOURNE 3000",31,Melbourne (CBD),144.95303,-37.82031
"Ground , 618A Collins Street MELBOURNE 3000",31,Melbourne (CBD),144.95303,-37.82031
"Shop 1, 608-610 Collins Street MELBOURNE 3000",31,Melbourne (CBD),144.95325,-37.82025
"Shop 7, 608 Collins Street MELBOURNE 3000",31,Melbourne (CBD),144.95325,-37.82025
"Shop 2, 520 Collins Street MELBOURNE 3000",32,Melbourne (CBD),144.95595,-37.81944
"Shop 2, 520 Collins Street MELBOURNE 3000",32,Melbourne (CBD),144.95595,-37.81944
"Rear Ground , 480 Collins Street MELBOURNE 3000",32,Melbourne (CBD),144.95665,-37.81928
"Part Ground , 470 Collins Street MELBOURNE 3000",32,Melbourne (CBD),144.95702,-37.81918
"Part Ground , 470 Collins Street MELBOURNE 3000",32,Melbourne (CBD),144.95702,-37.81918
"Basement , 8 Bank Place MELBOURNE 3000",33,Melbourne (CBD),144.95933,-37.81833
"Unit 2, Ground , 446-452 Collins Street MELBOURNE 3000",33,Melbourne (CBD),144.95813,-37.81894
451 Collins Street MELBOURNE 3000,33,Melbourne (CBD),144.95868,-37.81844
"Unit 2, Ground , 422 Collins Street MELBOURNE 3000",33,Melbourne (CBD),144.95868,-37.81844
"Unit 2, Ground , 422 Collins Street MELBOURNE 3000",33,Melbourne (CBD),144.95868,-37.81844
"Basement , 412 Collins Street MELBOURNE 3000",33,Melbourne (CBD),144.95917,-37.81863
"Shop 3, Ground , 439 Little Collins Street MELBOURNE 3000",33,Melbourne (CBD),144.95878,-37.81803
"LwrGround , 25 Little Collins Street MELBOURNE 3000",33,Melbourne (CBD),144.95878,-37.81803
"UprGround , 23 Little Collins Street MELBOURNE 3000",33,Melbourne (CBD),144.95878,-37.81803
"UprGround , 23 Little Collins Street MELBOURNE 3000",33,Melbourne (CBD),144.95878,-37.81803
"Part Ground , 459 Little Collins Street MELBOURNE 3000",33,Melbourne (CBD),144.95823,-37.81824
"Part Ground , 459 Little Collins Street MELBOURNE 3000",33,Melbourne (CBD),144.95823,-37.81824
"Ground , 376 Collins Street MELBOURNE 3000",34,Melbourne (CBD),144.9604,-37.81793
371 Collins Street MELBOURNE 3000,34,Melbourne (CBD),144.96137,-37.81765
10 Little Collins Street MELBOURNE 3000,34,Melbourne (CBD),144.96111,-37.81747
"Unit 1, Ground , 365 Little Collins Street MELBOURNE 3000",34,Melbourne (CBD),144.9615,-37.81745
"Shop 1,  Collins Street MELBOURNE 3000",35,Melbourne (CBD),144.96326,-37.81728
"Shop 532, Floor 3, 260 Collins Street MELBOURNE 3000",35,Melbourne (CBD),144.96359,-37.81706
"Shop 100, Basement , 260 Collins Street MELBOURNE 3000",35,Melbourne (CBD),144.96359,-37.81706
"Shop 9,  Elizabeth Street MELBOURNE 3000",35,Melbourne (CBD),144.96288,-37.81721
84-86 Elizabeth Street MELBOURNE 3000,35,Melbourne (CBD),144.96287,-37.81755
25 Little Collins Street MELBOURNE 3000,35,Melbourne (CBD),144.96291,-37.81693
41-43 Little Collins Street MELBOURNE 3000,35,Melbourne (CBD),144.96291,-37.81693
123 Swanston Street MELBOURNE 3000,35,Melbourne (CBD),144.96457,-37.81647
184 Collins Street MELBOURNE 3000,36,Melbourne (CBD),144.96596,-37.81649
184 Collins Street MELBOURNE 3000,36,Melbourne (CBD),144.96596,-37.81649
"Shop 11, Basement , 195 Collins Street MELBOURNE 3000",36,Melbourne (CBD),144.96653,-37.81614
"Ground , 120 Collins Street MELBOURNE 3000",37,Melbourne (CBD),144.968,-37.81563
"Ground , 24-28 Collins Street MELBOURNE 3000",38,Melbourne (CBD),144.97139,-37.81505
"Ground , 24-28 Collins Street MELBOURNE 3000",38,Melbourne (CBD),144.97139,-37.81505
"Shop 2, Ground , 20 Collins Street MELBOURNE 3000",38,Melbourne (CBD),144.97158,-37.81494
"Shop 1, Ground , 2 Collins Street MELBOURNE 3000",38,Melbourne (CBD),144.97223,-37.81468
13 Spring Street MELBOURNE 3000,38,Melbourne (CBD),144.97187,-37.81424
"Ground , 607 Bourke Street MELBOURNE 3000",41,Melbourne (CBD),144.95424,-37.81841
"Ground , 607 Bourke Street MELBOURNE 3000",41,Melbourne (CBD),144.95424,-37.81841
"Part Ground , 655 Bourke Street MELBOURNE 3000",41,Melbourne (CBD),144.95318,-37.81896
582-584 Little Collins Street MELBOURNE 3000,41,Melbourne (CBD),144.95404,-37.81906
582-584 Little Collins Street MELBOURNE 3000,41,Melbourne (CBD),144.95404,-37.81906
"Shop 20, 121 William Street MELBOURNE 3000",42,Melbourne (CBD),144.9565,-37.818
"Shop 18, 121 William Street MELBOURNE 3000",42,Melbourne (CBD),144.9565,-37.818
"Shop 16, 121 William Street MELBOURNE 3000",42,Melbourne (CBD),144.9565,-37.818
"Shop 3, Ground , 601 Bourke Street MELBOURNE 3000",42,Melbourne (CBD),144.95487,-37.81817
"Shop 2, 540 Little Collins Street MELBOURNE 3000",42,Melbourne (CBD),144.95545,-37.8186
"Shop 9, 532 Little Collins Street MELBOURNE 3000",42,Melbourne (CBD),144.95579,-37.81852
"Part Ground , 455 Bourke Street MELBOURNE 3000",43,Melbourne (CBD),144.95919,-37.81691
"Part Ground , 114 William Street MELBOURNE 3000",43,Melbourne (CBD),144.95761,-37.81794
"Part Ground , 114 William Street MELBOURNE 3000",43,Melbourne (CBD),144.95761,-37.81794
"Shop , 385 Bourke Street MELBOURNE 3000",44,Melbourne (CBD),144.96161,-37.81657
"Shop 11, 399-403 Bourke Street MELBOURNE 3000",44,Melbourne (CBD),144.96087,-37.81678
396 Little Collins Street MELBOURNE 3000,44,Melbourne (CBD),144.96022,-37.8172
378-380 Little Collins Street MELBOURNE 3000,44,Melbourne (CBD),144.96068,-37.81713
378-380 Little Collins Street MELBOURNE 3000,44,Melbourne (CBD),144.96068,-37.81713
Rear 360-360 Little Collins Street MELBOURNE 3000,44,Melbourne (CBD),144.96132,-37.81692
"Ground , 14-16 McKillop Street MELBOURNE 3000",44,Melbourne (CBD),144.96059,-37.81697
"Shop 1, 118 Queen Street MELBOURNE 3000",44,Melbourne (CBD),144.95998,-37.81729
"Shop 13, 309-325 Bourke Street MELBOURNE 3000",45,Melbourne (CBD),144.96322,-37.81609
"Shop 17, 309-325 Bourke Street MELBOURNE 3000",45,Melbourne (CBD),144.96322,-37.81609
Bourke Street MELBOURNE 3000,45,Melbourne (CBD),144.96266,-37.81602
"Unit 2, Basement , 341-357 Bourke Street MELBOURNE 3000",45,Melbourne (CBD),144.96235,-37.81607
136 Elizabeth Street MELBOURNE 3000,45,Melbourne (CBD),144.96243,-37.81648
136 Elizabeth Street MELBOURNE 3000,45,Melbourne (CBD),144.96243,-37.81648
"Shop 3, 318-322 Little Collins Street MELBOURNE 3000",45,Melbourne (CBD),144.96269,-37.81652
"Shop 5, 306 Little Collins Street MELBOURNE 3000",45,Melbourne (CBD),144.96303,-37.81637
"Floor 1, 139-141 Swanston Street MELBOURNE 3000",45,Melbourne (CBD),144.96442,-37.81605
145 Swanston Street MELBOURNE 3000,45,Melbourne (CBD),144.96438,-37.81597
181 Russell Street MELBOURNE 3000,46,Melbourne (CBD),144.96665,-37.81475
201-203 Bourke Street MELBOURNE 3000,46,Melbourne (CBD),144.96621,-37.81488
201-203 Bourke Street MELBOURNE 3000,46,Melbourne (CBD),144.96621,-37.81488
"Part Ground , 225 Bourke Street MELBOURNE 3000",46,Melbourne (CBD),144.96578,-37.8151
"Shop 5, 239 Bourke Street MELBOURNE 3000",46,Melbourne (CBD),144.9653,-37.81538
"Shop 3, 239 Bourke Street MELBOURNE 3000",46,Melbourne (CBD),144.9653,-37.81538
148 Swanston Street MELBOURNE 3000,46,Melbourne (CBD),144.9649,-37.81577
148 Swanston Street MELBOURNE 3000,46,Melbourne (CBD),144.9649,-37.81577
140 Swanston Street MELBOURNE 3000,46,Melbourne (CBD),144.96498,-37.81594
"Part Level 1, 142 Bourke Street MELBOURNE 3000",47,Melbourne (CBD),144.9671,-37.81463
116 Russell Street MELBOURNE 3000,47,Melbourne (CBD),144.96771,-37.81513
39 Bourke Street MELBOURNE 3000,48,Melbourne (CBD),144.97073,-37.81357
45-47 Bourke Street MELBOURNE 3000,48,Melbourne (CBD),144.97059,-37.81361
49 Bourke Street MELBOURNE 3000,48,Melbourne (CBD),144.97059,-37.81361
51 Bourke Street MELBOURNE 3000,48,Melbourne (CBD),144.97048,-37.81364
"Floor 2, 59-63 Bourke Street MELBOURNE 3000",48,Melbourne (CBD),144.97024,-37.81374
"Ground , 59-63 Bourke Street MELBOURNE 3000",48,Melbourne (CBD),144.97024,-37.81374
"Ground , 59-63 Bourke Street MELBOURNE 3000",48,Melbourne (CBD),144.97024,-37.81374
"Floor 1, 20 Meyers Place MELBOURNE 3000",48,Melbourne (CBD),144.97104,-37.81372
"Part Ground , 620 Bourke Street MELBOURNE 3000",51,Melbourne (CBD),144.95401,-37.81787
"Ground , 181-183 King Street MELBOURNE 3000",51,Melbourne (CBD),144.95386,-37.81754
185 King Street MELBOURNE 3000,51,Melbourne (CBD),144.95383,-37.81748
670 Bourke Street MELBOURNE 3000,51,Melbourne (CBD),144.95272,-37.81791
"Unit 3, Ground , 516-526 Bourke Street MELBOURNE 3000",53,Melbourne (CBD),144.95707,-37.81691
"Unit 3, Ground , 516-526 Bourke Street MELBOURNE 3000",53,Melbourne (CBD),144.95707,-37.81691
"Shop 10, 500 Bourke Street MELBOURNE 3000",53,Melbourne (CBD),144.95746,-37.81659
"Ground , 490 Bourke Street MELBOURNE 3000",53,Melbourne (CBD),144.95788,-37.81664
"Ground , 482 Bourke Street MELBOURNE 3000",53,Melbourne (CBD),144.95806,-37.81673
"Shop 1, Ground , 471 Little Bourke Street MELBOURNE 3000",53,Melbourne (CBD),144.95772,-37.81623
"Ground , 163 Queen Street MELBOURNE 3000",53,Melbourne (CBD),144.95891,-37.81632
185-199 Queen Street MELBOURNE 3000,53,Melbourne (CBD),144.95865,-37.81592
185-199 Queen Street MELBOURNE 3000,53,Melbourne (CBD),144.95865,-37.81592
"Ground , 180 William Street MELBOURNE 3000",53,Melbourne (CBD),144.95677,-37.81641
203 Elizabeth Street MELBOURNE 3000,54,Melbourne (CBD),144.96129,-37.8153
13-15 Hardware Lane MELBOURNE 3000,54,Melbourne (CBD),144.96009,-37.81593
"Ground , 29-31 Hardware Lane MELBOURNE 3000",54,Melbourne (CBD),144.95995,-37.81563
"Ground , 361 Little Bourke Street MELBOURNE 3000",54,Melbourne (CBD),144.96068,-37.81522
369-371 Little Bourke Street MELBOURNE 3000,54,Melbourne (CBD),144.96047,-37.81531
383-385 Little Bourke Street MELBOURNE 3000,54,Melbourne (CBD),144.96015,-37.81541
"Shop 3, 35 Little Bourke Street MELBOURNE 3000",54,Melbourne (CBD),144.95989,-37.81549
"Shop 3, 35 Little Bourke Street MELBOURNE 3000",54,Melbourne (CBD),144.95989,-37.81549
"Part Ground , 174 Queen Street MELBOURNE 3000",54,Melbourne (CBD),144.95945,-37.81593
338-352 Bourke Street MELBOURNE 3000,55,Melbourne (CBD),144.96197,-37.81524
338-352 Bourke Street MELBOURNE 3000,55,Melbourne (CBD),144.96197,-37.81524
"Ground 0, 209 Swanston Street MELBOURNE 3000",55,Melbourne (CBD),144.96372,-37.81453
"Shop 6, 236 Bourke Street MELBOURNE 3000",56,Melbourne (CBD),144.96496,-37.81437
"Shop 23, 219 Bourke Street MELBOURNE 3000",56,Melbourne (CBD),144.96496,-37.81437
"Shop 7, 194-200 Bourke Street MELBOURNE 3000",56,Melbourne (CBD),144.96595,-37.81404
"Shop 101, 194-200 Bourke Street MELBOURNE 3000",56,Melbourne (CBD),144.96595,-37.81404
180 Bourke Street MELBOURNE 3000,56,Melbourne (CBD),144.96647,-37.81428
171-173 Russell Street MELBOURNE 3000,56,Melbourne (CBD),144.96627,-37.81402
181-183 Russell Street MELBOURNE 3000,56,Melbourne (CBD),144.9662,-37.81386
191-193 Russell Street MELBOURNE 3000,56,Melbourne (CBD),144.96612,-37.81371
"Level 1, 171 Russell Street MELBOURNE 3000",56,Melbourne (CBD),144.96609,-37.81363
175 Russell Street MELBOURNE 3000,56,Melbourne (CBD),,
160-162 Bourke Street MELBOURNE 3000,57,Melbourne (CBD),144.96715,-37.81409
130-132 Bourke Street MELBOURNE 3000,57,Melbourne (CBD),144.96787,-37.81388
"Shop 5, LwrGround , 108 Bourke Street MELBOURNE 3000",57,Melbourne (CBD),144.96844,-37.81338
98 Bourke Street MELBOURNE 3000,57,Melbourne (CBD),144.96885,-37.81359
165-167 Exhibition Street MELBOURNE 3000,57,Melbourne (CBD),144.96878,-37.81335
173-175 Exhibition Street MELBOURNE 3000,57,Melbourne (CBD),144.96873,-37.81323
"Shop 1, 189-195 Exhibition Street MELBOURNE 3000",57,Melbourne (CBD),144.9686,-37.81293
105 Little Bourke Street MELBOURNE 3000,57,Melbourne (CBD),144.96802,-37.8131
"Gnd & Mezz , 115-117 Little Bourke Street MELBOURNE 3000",57,Melbourne (CBD),144.96769,-37.81323
119-121 Little Bourke Street MELBOURNE 3000,57,Melbourne (CBD),144.96752,-37.81324
23-27 Market Lane MELBOURNE 3000,57,Melbourne (CBD),144.9678,-37.81338
26-28 Market Lane MELBOURNE 3000,57,Melbourne (CBD),144.96802,-37.81325
"Ground , 18 Market Lane MELBOURNE 3000",57,Melbourne (CBD),144.96809,-37.81339
78-84 Bourke Street MELBOURNE 3000,58,Melbourne (CBD),144.96953,-37.81337
"Shop 1, 40-50 Bourke Street MELBOURNE 3000",58,Melbourne (CBD),144.97038,-37.81301
18 Bourke Street MELBOURNE 3000,58,Melbourne (CBD),144.97105,-37.81293
"Unit 7, 43 Little Bourke Street MELBOURNE 3000",58,Melbourne (CBD),144.97005,-37.81256
"Unit 6, 43 Little Bourke Street MELBOURNE 3000",58,Melbourne (CBD),144.97005,-37.81256
"Shop 1, 47-55 Little Bourke Street MELBOURNE 3000",58,Melbourne (CBD),144.96979,-37.81266
"Shop 2, 47-55 Little Bourke Street MELBOURNE 3000",58,Melbourne (CBD),144.96979,-37.81266
"Shop 1, 225-237 King Street MELBOURNE 3000",61,Melbourne (CBD),144.95343,-37.81651
525 Lonsdale Street MELBOURNE 3000,62,Melbourne (CBD),144.95534,-37.81592
"Ground , 558 Little Bourke Street MELBOURNE 3000",62,Melbourne (CBD),144.95463,-37.81656
"Shop 1, Ground , 542-546 Little Bourke Street MELBOURNE 3000",62,Melbourne (CBD),144.95505,-37.81645
207-213 Queen Street MELBOURNE 3000,63,Melbourne (CBD),144.95859,-37.8155
215 Queen Street MELBOURNE 3000,63,Melbourne (CBD),144.95856,-37.81543
10-12 Goldie Place MELBOURNE 3000,64,Melbourne (CBD),144.95946,-37.81502
"Ground , 59 Hardware Lane MELBOURNE 3000",64,Melbourne (CBD),144.95965,-37.81502
75-77 Hardware Lane MELBOURNE 3000,64,Melbourne (CBD),144.95955,-37.81478
75-77 Hardware Lane MELBOURNE 3000,64,Melbourne (CBD),144.95955,-37.81478
64-66 Hardware Lane MELBOURNE 3000,64,Melbourne (CBD),144.95985,-37.81482
"Ground , 56-58 Hardware Lane MELBOURNE 3000",64,Melbourne (CBD),144.95995,-37.81503
"Ground , 43-49 Little Bourke Street MELBOURNE 3000",64,Melbourne (CBD),144.95976,-37.81524
46-52 Little Bourke Street MELBOURNE 3000,64,Melbourne (CBD),144.96001,-37.81518
"Shop 3, 200 Queen Street MELBOURNE 3000",64,Melbourne (CBD),144.95916,-37.81511
"Shop 1, 200 Queen Street MELBOURNE 3000",64,Melbourne (CBD),144.95916,-37.81511
"Shop 33,  Elizabeth Street MELBOURNE 3000",65,Melbourne (CBD),144.96157,-37.81434
"Shop 10,  Elizabeth Street MELBOURNE 3000",65,Melbourne (CBD),144.96157,-37.81434
243-245 Swanston Street MELBOURNE 3000,65,Melbourne (CBD),144.96342,-37.81394
251-253 Swanston Street MELBOURNE 3000,65,Melbourne (CBD),144.96338,-37.81385
265-267 Swanston Street MELBOURNE 3000,65,Melbourne (CBD),144.96329,-37.81365
271 Swanston Street MELBOURNE 3000,65,Melbourne (CBD),144.96324,-37.81354
275-279 Swanston Street MELBOURNE 3000,65,Melbourne (CBD),144.96319,-37.81345
16 Celestial Avenue MELBOURNE 3000,66,Melbourne (CBD),144.96506,-37.81345
11-13 Heffernan Lane MELBOURNE 3000,66,Melbourne (CBD),144.96529,-37.81347
"Ground , 185 Lonsdale Street MELBOURNE 3000",66,Melbourne (CBD),144.96553,-37.81283
195 Lonsdale Street MELBOURNE 3000,66,Melbourne (CBD),144.96531,-37.81291
197 Lonsdale Street MELBOURNE 3000,66,Melbourne (CBD),144.96526,-37.81292
212 Little Bourke Street MELBOURNE 3000,66,Melbourne (CBD),144.96496,-37.81367
204 Little Bourke Street MELBOURNE 3000,66,Melbourne (CBD),144.96523,-37.81363
"Part Ground , 178-190 Little Bourke Street MELBOURNE 3000",66,Melbourne (CBD),144.96563,-37.81351
"Ground , 186-190 Little Bourke Street MELBOURNE 3000",66,Melbourne (CBD),144.96563,-37.81351
"Ground , 213 Russell Street MELBOURNE 3000",66,Melbourne (CBD),144.96592,-37.8132
177-179 Russell Street MELBOURNE 3000,66,Melbourne (CBD),144.96572,-37.81276
254 Swanston Street MELBOURNE 3000,66,Melbourne (CBD),144.96396,-37.81363
"Gnd & Flr1 , 23 Tattersalls Lane MELBOURNE 3000",66,Melbourne (CBD),144.96412,-37.8135
"Floor 1, 3-5 Waratah Place MELBOURNE 3000",66,Melbourne (CBD),144.96572,-37.81335
238 Little Bourke Street MELBOURNE 3000,66,Melbourne (CBD),144.96447,-37.81388
"Part Ground , 123-129 Lonsdale Street MELBOURNE 3000",67,Melbourne (CBD),144.96736,-37.81235
"Part Gnd & Mezz , 126 Little Bourke Street MELBOURNE 3000",67,Melbourne (CBD),144.96744,-37.81295
120-122 Little Bourke Street MELBOURNE 3000,67,Melbourne (CBD),144.96759,-37.81295
"Level 1, 234 Russell Street MELBOURNE 3000",67,Melbourne (CBD),144.96633,-37.81262
7-222 Russell Street MELBOURNE 3000,67,Melbourne (CBD),144.96664,-37.81297
196-208 Russell Street MELBOURNE 3000,67,Melbourne (CBD),144.96656,-37.81322
145 Lonsdale Street MELBOURNE 3000,67,Melbourne (CBD),144.96684,-37.81245
53-55 Lonsdale Street MELBOURNE 3000,68,Melbourne (CBD),144.9694,-37.81169
53-55 Lonsdale Street MELBOURNE 3000,68,Melbourne (CBD),144.9694,-37.81169
"Restaurant , Ground , 24-38 Little Bourke Street MELBOURNE 3000",68,Melbourne (CBD),144.9701,-37.81198
"Shop 3, Ground , 24-38 Little Bourke Street MELBOURNE 3000",68,Melbourne (CBD),144.9701,-37.81198
"Ground , 22 Punch Lane MELBOURNE 3000",68,Melbourne (CBD),144.96976,-37.812
"Shop 3, 201 Spring Street MELBOURNE 3000",68,Melbourne (CBD),144.97073,-37.81176
556-558 Lonsdale Street MELBOURNE 3000,72,Melbourne (CBD),144.95446,-37.81551
536-538 Lonsdale Street MELBOURNE 3000,72,Melbourne (CBD),144.95511,-37.81529
534-538 Lonsdale Street MELBOURNE 3000,72,Melbourne (CBD),144.95511,-37.81529
"Shop , 550 Lonsdale Street MELBOURNE 3000",72,Melbourne (CBD),144.95469,-37.81509
"Shop 1, 535 Little Lonsdale Street MELBOURNE 3000",72,Melbourne (CBD),144.95469,-37.81509
"Shop , 535 Little Lonsdale Street MELBOURNE 3000",72,Melbourne (CBD),144.95469,-37.81509
"Shop , 535 Little Lonsdale Street MELBOURNE 3000",72,Melbourne (CBD),144.95469,-37.81509
"Shop 1, 456 Lonsdale Street MELBOURNE 3000",73,Melbourne (CBD),144.9573,-37.81462
"Ground , 460 Lonsdale Street MELBOURNE 3000",73,Melbourne (CBD),144.95704,-37.81469
123 Hardware Street MELBOURNE 3000,74,Melbourne (CBD),144.95908,-37.81374
115 Hardware Street MELBOURNE 3000,74,Melbourne (CBD),144.95908,-37.81374
118 Hardware Street MELBOURNE 3000,74,Melbourne (CBD),144.95939,-37.81358
404-406 Lonsdale Street MELBOURNE 3000,74,Melbourne (CBD),144.95901,-37.81409
"Shop 3, 398 Lonsdale Street MELBOURNE 3000",74,Melbourne (CBD),144.95922,-37.81405
"Ground , 364 Lonsdale Street MELBOURNE 3000",74,Melbourne (CBD),144.96015,-37.81387
"Shop 2, 391 Little Lonsdale Street MELBOURNE 3000",74,Melbourne (CBD),144.95903,-37.81351
"Shop 3, 391 Little Lonsdale Street MELBOURNE 3000",74,Melbourne (CBD),144.95903,-37.81351
17-23 Little Lonsdale Street MELBOURNE 3000,76,Melbourne (CBD),144.96441,-37.81232
17-23 Little Lonsdale Street MELBOURNE 3000,76,Melbourne (CBD),144.96441,-37.81232
25-27 Little Lonsdale Street MELBOURNE 3000,76,Melbourne (CBD),144.96441,-37.81232
200 Little Lonsdale Street MELBOURNE 3000,76,Melbourne (CBD),144.96441,-37.81232
261-265 Little Lonsdale Street MELBOURNE 3000,76,Melbourne (CBD),144.96441,-37.81232
31-33 Little Lonsdale Street MELBOURNE 3000,76,Melbourne (CBD),144.96441,-37.81232
192 Little Lonsdale Street MELBOURNE 3000,76,Melbourne (CBD),144.96441,-37.81232
13-15 Little Lonsdale Street MELBOURNE 3000,76,Melbourne (CBD),144.96441,-37.81232
"Part Ground 0, 150-0 Lonsdale Street MELBOURNE 3000",77,Melbourne (CBD),144.96626,-37.81176
"Shop 11, 242-284 Exhibition Street MELBOURNE 3000",78,Melbourne (CBD),144.96866,-37.81105
"Shop 9, 36-0 Lonsdale Street MELBOURNE 3000",78,Melbourne (CBD),144.96941,-37.81083
"Shop 16, 36-0 Lonsdale Street MELBOURNE 3000",78,Melbourne (CBD),144.96941,-37.81083
"Shop 6, 36-0 Lonsdale Street MELBOURNE 3000",78,Melbourne (CBD),144.96941,-37.81083
"Shop 1, 45-49 Lonsdale Street MELBOURNE 3000",78,Melbourne (CBD),144.96941,-37.81083
"Shop 1, 45-49 Lonsdale Street MELBOURNE 3000",78,Melbourne (CBD),144.96941,-37.81083
"Part Ground , 555 La Trobe Street MELBOURNE 3000",81,Melbourne (CBD),144.95139,-37.81494
536 Little Lonsdale Street MELBOURNE 3000,81,Melbourne (CBD),144.95193,-37.81524
305 William Street MELBOURNE 3000,82,Melbourne (CBD),144.95456,-37.81415
485 La Trobe Street MELBOURNE 3000,82,Melbourne (CBD),144.95361,-37.81433
485 La Trobe Street MELBOURNE 3000,82,Melbourne (CBD),144.95361,-37.81433
"Ground , 474 Little Lonsdale Street MELBOURNE 3000",82,Melbourne (CBD),144.9541,-37.81465
"Ground , 285 La Trobe Street MELBOURNE 3000",84,Melbourne (CBD),144.95951,-37.81239
335 La Trobe Street MELBOURNE 3000,84,Melbourne (CBD),144.95833,-37.81271
288 Little Lonsdale Street MELBOURNE 3000,84,Melbourne (CBD),144.95836,-37.81345
332 Little Lonsdale Street MELBOURNE 3000,84,Melbourne (CBD),144.95836,-37.81345
"Kiosk 11, Ground , 300 La Trobe Street MELBOURNE 3000",85,Melbourne (CBD),144.96146,-37.81215
"Shop 7, Ground , 300 La Trobe Street MELBOURNE 3000",85,Melbourne (CBD),144.96146,-37.81215
"Shop 5, Ground , 300 La Trobe Street MELBOURNE 3000",85,Melbourne (CBD),144.96146,-37.81215
"Shop 5, Ground , 300 La Trobe Street MELBOURNE 3000",85,Melbourne (CBD),144.96146,-37.81215
"Shop 2, Ground , 300 La Trobe Street MELBOURNE 3000",85,Melbourne (CBD),144.96146,-37.81215
"Kiosk 12, Ground , 300 La Trobe Street MELBOURNE 3000",85,Melbourne (CBD),144.96146,-37.81215
"Floor 1, 301 Swanston Street MELBOURNE 3000",85,Melbourne (CBD),144.96288,-37.81272
